Operation,Dimension,BlockSize,Time,Gflops
1,600,0,0.207942035,2.077502030794303
1,1000,0,1.585568565,1.2613771767101096
1,1400,0,4.383613628,1.2519351534418581
1,1800,0,18.443521349,0.6324171929690865
1,2200,0,40.380643209,0.5273813963234139
1,2600,0,70.580539285,0.4980409664774354
1,3000,0,118.167106541,0.4569799632122144
2,600,0,0.129607115,3.3331503444081756
2,1000,0,0.547896028,3.650327612887896
2,1400,0,1.743573328,3.147559045477667
2,1800,0,4.133865418,2.821572262418534
2,2200,0,7.107164309,2.996413066324115
2,2600,0,11.526319593,3.0497158886127025
2,3000,0,17.38213271,3.1066383453011848
