Operation,Dimension,BlockSize,Time,L1_DCM,L2_DCM,L3_TCM,Gflops,N_Threads
3,4096,128,30.7666,9715215461,33364223990,1235286983,4.4671,1
3,4096,256,28.0366,9079547030,22882492929,840149401,4.9021,1
3,4096,512,29.2775,8763410447,19717530941,1934525876,4.6944,1
3,6144,128,103.176,32796056091,112081589547,3467517217,4.4958,1
3,6144,256,90.9701,30636694495,77368646835,1560809697,5.0990,1
3,6144,512,89.1191,29611039405,67479860445,2342014567,5.2049,1
3,8192,128,245.594,77750835631,262942406638,11430104201,4.4770,1
3,8192,256,394.909,73023850657,157485881946,103375678578,2.7842,1
3,8192,512,326.334,70340242753,129206572603,82056499045,3.3693,1
3,10240,128,478.05,151865109646,522163381860,16991020857,4.4922,1
3,10240,256,421.426,141833378490,361622646152,8461928501,5.0958,1
3,10240,512,423.475,136924580446,304086101526,14332233133,5.0711,1

3,4096,128,31.3796,9711185397,32399723394,1579660089,4.3799,1
3,4096,256,26.9839,9077432677,23247923267,555775146,5.0934,1
3,4096,512,34.8726,8764394910,19083663578,4636836038,3.9412,1
3,6144,128,104.572,32786530439,108039190516,3305702566,4.4358,1
3,6144,256,90.2734,30634928230,79129750675,1910993047,5.1384,1
3,6144,512,89.4973,29607542933,65993038288,2478298803,5.1829,1
3,8192,128,243.978,77720552615,260026150897,12247795815,4.5066,1
3,8192,256,397.067,73003393661,156807892723,102679181263,2.7691,1
3,8192,512,329.703,70384902773,130130945021,85145480119,3.3349,1
3,10240,128,483.109,151823835009,514470317940,17316306340,4.4451,1
3,10240,256,419.512,141821307798,367294814748,9680111514,5.1190,1
3,10240,512,422.026,136918813523,304950848520,13702100029,5.0885,1

3,4096,128,31.591,9717436632,32415734926,1609713605,4.3506,1
3,4096,256,26.8254,9077774187,23598818009,670687793,5.1235,1
3,4096,512,36.3344,8764930865,19036203221,5216340450,3.7826,1
3,6144,128,103.195,32799774682,111980634756,3482035930,4.4950,1
3,6144,256,90.2256,30638939938,79144160637,1815380207,5.1411,1
3,6144,512,89.5458,29605723882,66390950545,2337477498,5.1801,1
3,8192,128,243.402,77734078591,260076179379,12061026530,4.5173,1
3,8192,256,396.299,73027771875,156541268447,102552401864,2.7744,1
3,8192,512,325.759,70337635255,129525173655,82085841485,3.3752,1
3,10240,128,485.08,151862278444,507928454180,17172575480,4.4271,1
3,10240,256,417.914,141844986787,367579591001,8869602563,5.1386,1
3,10240,512,424.018,136909727995,303532529130,14923751352,5.0646,1

3,4096,128,30.8464,9714631113,33326766704,1622616358,4.4556,1
3,4096,256,27.2315,9079017898,23037814426,652648184,5.0471,1
3,4096,512,36.6948,8766906689,19053537589,5261493602,3.7455,1
3,6144,128,103.57,32796342048,109938129742,3958741649,4.4787,1
3,6144,256,91.5184,30638539370,77247691038,1816506581,5.0684,1
3,6144,512,88.8598,29612041141,66008171694,2202108282,5.2201,1
3,8192,128,247.781,77739296972,260063550363,11850503796,4.4374,1
3,8192,256,391.747,73020264025,153151846143,98524775600,2.8067,1
3,8192,512,326.473,70369317576,129758071337,84686496363,3.3678,1
3,10240,128,484.107,151882451514,515439708854,17360416017,4.4360,1
3,10240,256,418.551,141831117950,367327454189,9415021327,5.1308,1
3,10240,512,417.98,136917154164,305264212654,15194671625,5.1378,1


