Operation,Dimension,BlockSize,Time,L1_DCM,L2_DCM,Gflops,N_Threads
4,600,0,0.0259,6778176,14540519,16.6795,4
4,600,0,0.018497,4523779,9477601,23.3551,6
4,600,0,0.016704,3892401,8197180,25.8621,7
4,600,0,0.017228,3395616,7266993,25.0755,8
4,1000,0,0.131069,31425114,65579395,15.2591,4
4,1000,0,0.087125,20998782,44150395,22.9555,6
4,1000,0,0.079007,17979559,37990357,25.3142,7
4,1000,0,0.075047,15720243,33007874,26.6500,8
4,1400,0,0.424663,86903849,174062889,12.9232,4
4,1400,0,0.296024,58106983,116465188,18.5390,6
4,1400,0,0.259621,49657484,99723672,21.1385,7
4,1400,0,0.24086,43455197,88004168,22.7850,8
4,1800,0,0.945388,187100268,361750569,12.3378,4
4,1800,0,0.683348,124756760,244533323,17.0689,6
4,1800,0,0.615024,107290541,212543148,18.9651,7
4,1800,0,0.563456,93573496,185066969,20.7008,8
4,2200,0,1.73843,517223888,663424075,12.2501,4
4,2200,0,1.2644,345087911,440186740,16.8427,6
4,2200,0,1.13061,296263002,384119445,18.8359,7
4,2200,0,1.06254,258706948,338437089,20.0425,8
4,2600,0,3.01986,1099318864,1111767091,11.6403,4
4,2600,0,2.20738,734012469,744229358,15.9247,6
4,2600,0,1.99584,629163361,646224150,17.6126,7
4,2600,0,1.89934,549634492,555454752,18.5075,8
4,3000,0,4.65509,1690038718,1695788640,11.6002,4
4,3000,0,3.38951,1126713979,1156879698,15.9315,6
4,3000,0,3.07488,966740267,989941290,17.5616,7
4,3000,0,2.93939,845051437,862313733,18.3711,8
4,4096,0,12.1754,4410456393,4376781809,11.2883,4
4,4096,0,9.13693,2942090737,2887060825,15.0421,6
4,4096,0,8.05548,2526317270,2524124093,17.0616,7
4,4096,0,7.98861,2204187666,2145228640,17.2044,8
4,6144,0,41.2852,14893593302,14799921525,11.2354,4
4,6144,0,30.4262,9931919791,9840915105,15.2453,6
4,6144,0,28.5954,8511347841,8457577841,16.2214,7
4,6144,0,29.8914,7436598139,7184301562,15.5181,8
4,8192,0,97.7834,35290810949,34866670993,11.2444,4
4,8192,0,73.1552,23543527628,23400751397,15.0299,6
4,8192,0,67.9471,20176792114,20047547653,16.1819,7
4,8192,0,74.0405,17617558950,16995333547,14.8501,8
4,10240,0,192.438,68896892177,69142558371,11.1594,4
4,10240,0,142.261,45963571352,46263765954,15.0954,6
4,10240,0,139.656,39365135685,38697307352,15.3770,7
4,10240,0,148.929,34402162033,33454416626,14.4195,8
6,4096,256,9.03719,2287224128,5808965738,15.2082,4
6,4096,256,7.24881,1715990142,4370921481,18.9602,6
6,4096,256,7.29371,1716189285,4456383352,18.8435,7
6,4096,256,5.50769,1144432403,2937224553,24.9540,8
6,6144,256,31.0049,7722062255,20057362662,14.9607,4
6,6144,256,28.8758,5150283326,12989895587,16.0638,6
6,6144,256,22.7189,5148715798,13095819917,20.4172,7
6,6144,256,18.5119,3861941399,9898583914,25.0572,8
6,8192,256,148.942,18360222767,41877105688,7.3822,4
6,8192,256,275.49,13761783067,26399301261,3.9911,6
6,8192,256,256.618,11467776622,20969972626,4.2846,7
6,8192,256,234.898,9163879747,15737786690,4.6808,8
6,10240,256,149.146,35756788210,91525150297,14.3985,4
6,10240,256,228.987,25035124477,58444898628,9.3782,6
6,10240,256,170.363,21457387859,50955372912,12.6053,7
6,10240,256,150.764,17879285436,42359428669,14.2440,8
