Operation,Dimension,BlockSize,Time,L1_DCM,L2_DCM,Gflops,N_Threads
1,600,0,0.182892,244774983,39351124,2.3620,1
1,1000,0,0.984403,1227970083,207894970,2.0317,1
1,1400,0,3.16243,3485647338,681821195,1.7354,1
1,1800,0,17.782,9089266982,3764233490,0.6559,1
1,2200,0,38.3152,17629853970,17731225869,0.5558,1
1,2600,0,68.5213,30884599933,49919881771,0.5130,1
1,3000,0,116.663,50301838560,96302510620,0.4629,1
2,600,0,0.10315,27107758,57427329,4.1881,1
2,1000,0,0.470515,125701174,262130621,4.2507,1
2,1400,0,1.54549,346007884,714582495,3.5510,1
2,1800,0,3.36508,745220622,1454614009,3.4662,1
2,2200,0,6.26751,2073895341,2565504222,3.3978,1
2,2600,0,10.348,4412450928,4191324403,3.3970,1
2,3000,0,15.9684,6779536791,6407048717,3.3817,1
2,4096,0,40.9299,17536541831,16363225271,3.3579,1
2,6144,0,138.147,59121055541,54277769318,3.3577,1
2,8192,0,329.881,140139251676,130193739664,3.3331,1
2,10240,0,637.785,273319178976,250677091539,3.3671,1
3,4096,128,30.1293,9752043088,32540439347,4.5616,1
3,4096,256,28.6928,9089823043,23069606207,4.7900,1
3,4096,512,34.6064,8774243982,18887957277,3.9715,1
3,6144,128,103.231,32907370881,109481003957,4.4934,1
3,6144,256,89.4039,30673192426,79186938123,5.1883,1
3,6144,512,91.0236,29647357895,67256585829,5.0960,1
3,8192,128,242.997,78051886373,266872671548,4.5248,1
3,8192,256,391.863,73082787237,156179010263,2.8059,1
3,8192,512,324.27,70374295171,129838530424,3.3907,1
3,4096,128,30.5415,9752107091,32944430349,4.5001,1
3,4096,256,28.7751,9092287445,22773463552,4.7763,1
3,4096,512,28.24,8772719038,19871631200,4.8668,1
3,6144,128,101.076,32916739604,110149421241,4.5892,1
3,6144,256,89.0467,30675941946,77148121037,5.2091,1
3,6144,512,88.5848,29646235360,67448794775,5.2363,1
3,8192,128,239.861,78043627911,260796456547,4.5840,1
3,8192,256,387.965,73059342060,152440979759,2.8340,1
3,8192,512,330.104,70391731102,129185662699,3.3308,1
3,10240,128,479.33,152374052177,509244186103,4.4802,1
3,10240,256,414.107,142006282155,367039871810,5.1858,1
3,10240,512,415.653,137079054213,306756179598,5.1665,1
4,600,0,0.026884,6780255,14393090,16.0690,4
4,600,0,0.018919,4522879,9460116,22.8342,6
4,600,0,0.036391,3391814,7196752,11.8711,8
4,1000,0,0.126657,31423372,66637987,15.7907,4
4,1000,0,0.087227,20996086,43812285,22.9287,6
4,1000,0,0.076063,15719792,33347442,26.2940,8
4,1400,0,0.422373,86901865,174448504,12.9933,4
4,1400,0,0.295125,58101966,117359074,18.5955,6
4,1400,0,0.243242,43455533,87634437,22.5619,8
4,1800,0,0.942083,187092528,357214950,12.3811,4
4,1800,0,0.673237,124748013,244494809,17.3253,6
4,1800,0,0.569698,93571249,186311811,20.4740,8
4,2200,0,1.74554,517102709,654944486,12.2002,4
4,2200,0,1.24592,345152004,444902129,17.0926,6
4,2200,0,1.05862,258711801,337468757,20.1168,8
4,2600,0,2.90941,1099314710,1099613182,12.0822,4
4,2600,0,2.0723,734015581,742803193,16.9628,6
4,2600,0,1.88649,549667856,560366464,18.6336,8
4,3000,0,4.64322,1690039768,1699454189,11.6299,4
4,3000,0,3.3941,1126715215,1153197892,15.9100,6
4,3000,0,3.11252,845073720,852277113,17.3493,8
4,4096,0,12.1538,4410092809,4341058675,11.3083,4
4,4096,0,8.83015,2943850185,2944502471,15.5647,6
4,4096,0,8.20867,2203563020,2151778533,16.7432,8
4,6144,0,40.9811,14894596684,14891557219,11.3188,4
4,6144,0,30.1478,9932702412,9897038604,15.3861,6
4,6144,0,31.6586,7432418230,7124704460,14.6518,8
4,8192,0,98.0376,35283372814,34803024713,11.2152,4
4,8192,0,71.5667,23551212946,23522557010,15.3634,6
4,8192,0,77.1176,17609077853,16883173009,14.2576,8
4,10240,0,190.628,68893636345,68735013776,11.2653,4
4,10240,0,140.2,45978707026,46227259080,15.3173,6
4,10240,0,158.006,34377567161,32845434002,13.5912,8
5,600,0,0.117774,10754506,37593398,3.6680,4
5,600,0,0.147791,9857108,37991977,2.9230,6
5,600,0,0.189129,9057918,36573722,2.2842,8
5,1000,0,0.39497,44716331,137225675,5.0637,4
5,1000,0,0.461034,34759748,123301078,4.3381,6
5,1000,0,0.564236,30234434,115152403,3.5446,8
5,1400,0,1.05901,106670568,281668464,5.1822,4
5,1400,0,1.15997,85810780,261399985,4.7312,6
5,1400,0,1.4665,73304286,248185241,3.7422,8
5,1800,0,2.59787,223515207,540384019,4.4898,4
5,1800,0,2.89943,168730024,449537766,4.0229,6
5,1800,0,3.20327,139846518,388867501,3.6413,8
5,2200,0,5.17346,378907036,826057778,4.1164,4
5,2200,0,5.46272,290254270,713108953,3.8984,6
5,2200,0,5.93017,240569793,613293717,3.5911,8
5,2600,0,8.59968,631349536,1333814739,4.0876,4
5,2600,0,9.03015,460571605,1066132009,3.8927,6
5,2600,0,9.44758,377641822,918515139,3.7207,8
5,3000,0,13.3427,932339105,1828561867,4.0472,4
5,3000,0,13.7625,685156633,1518416916,3.9237,6
5,3000,0,14.218,559364459,1294954158,3.7980,8
5,4096,0,32.982,2328012363,4384849619,4.1671,4
5,4096,0,33.244,1677745361,3594239013,4.1342,6
5,4096,0,34.765,1279582877,2663225290,3.9534,8
5,6144,0,108.342,7820515074,13932098974,4.2814,4
5,6144,0,105.923,5290024829,9902715178,4.3792,6
5,6144,0,106.719,4173722491,8307741318,4.3465,8
5,8192,0,252.215,20627926200,32117335571,4.3594,4
5,8192,0,249.514,12599986376,23153428562,4.4066,6
5,8192,0,251.946,9486356018,16461917219,4.3641,8
5,10240,0,485.905,69810915448,59738996012,4.4196,4
5,10240,0,480.398,25345614239,42612964027,4.4702,6
5,10240,0,479.988,18533046846,30725598460,4.4740,8
