Operation,Dimension,BlockSize,N_Threads,Time,L1_DCM,L2_DCM,Gflops
1,600,0,1,0.18377,244779770,38682131,2.351
1,1000,0,1,1.114836,1225949849,236773461,1.8088
1,1400,0,1,3.495259,3471191580,978095214,1.576
1,1800,0,1,18.071686,9090172841,5730662022,0.6459
1,2200,0,1,38.294471,17630657821,20302880969,0.5564
1,2600,0,1,69.0226,30895931144,50719685849,0.5095
1,3000,0,1,114.973857,50305095600,96485036230,0.4697
2,600,0,1,0.10373,27108266,57162689,4.1682
2,1000,0,1,0.48045,125673776,263534205,4.165
2,1400,0,1,1.570402,345982100,705462398,3.4976
2,1800,0,1,3.411581,745296306,1436094201,3.4198
2,2200,0,1,6.273155,2074023721,2557854864,3.3951
2,2600,0,1,10.413975,4412536352,4167976751,3.3756
2,3000,0,1,15.99335,6779756162,6367598825,3.3765
2,4096,0,1,41.170812,17536031042,16132329082,3.3387
2,6144,0,1,138.437,59145286722,54131404398,3.351
2,8192,0,1,328.7155,140028713686,127012178410,3.3453
2,10240,0,1,641.245,273424271178,252406172548,3.3491
3,4096,128,1,30.5378,9734440969,32527339167,4.5013
3,4096,256,1,27.8888,9084844789,23107431969,4.9324
3,4096,512,1,29.547512,8768531355,19414722950,4.7375
3,6144,128,1,103.516,32852944615,110219412463,4.4823
3,6144,256,1,90.645838,30656575490,77883059034,5.1184
3,6144,512,1,90.87755,29625108631,66844716855,5.1054
3,8192,128,1,252.54575,77901630670,261874087635,4.3608
3,8192,256,1,370.93625,73004202344,158631081608,3.039
3,8192,512,1,321.0735,70333783562,132600388060,3.4473
3,10240,128,1,478.028571,152056593801,515800766177,4.4928
3,10240,256,1,420.998714,141902119553,360751204334,5.1014
3,10240,512,1,419.594143,136986210591,307175086205,5.1194
4,600,0,4,0.026243,6779570,14359343,16.4641
4,600,0,6,0.018528,4524699,9573348,23.3284
4,600,0,8,0.018547,3394359,7192647,26.0459
4,1000,0,4,0.128745,31424537,66081131,15.5406
4,1000,0,6,0.086784,20995519,43866021,23.0483
4,1000,0,8,0.071722,15719493,32995520,27.9401
4,1400,0,4,0.418366,86904043,173854390,13.1185
4,1400,0,6,0.29089,58102463,116715128,18.8671
4,1400,0,8,0.236733,43457991,87742583,23.1943
4,1800,0,4,0.940437,187093091,361739163,12.4029
4,1800,0,6,0.670469,124743606,245962884,17.3977
4,1800,0,8,0.549038,93572842,185544182,21.2577
4,2200,0,4,1.735292,517129186,660314305,12.2725
4,2200,0,6,1.24187,345159266,446982781,17.1498
4,2200,0,8,1.060177,258635857,334870029,20.2615
4,2600,0,4,2.896608,1099274720,1093698857,12.136
4,2600,0,6,2.064108,733996487,736607755,17.031
4,2600,0,8,1.779102,549644126,552607208,19.8566
4,3000,0,4,4.50304,1690026397,1696671081,11.9969
4,3000,0,6,3.27208,1126721768,1137197220,16.5277
4,3000,0,8,2.904953,845062967,849202511,18.72
4,4096,0,4,11.836883,4407915235,4316162089,11.6145
4,4096,0,6,8.643645,2942867861,2920729330,15.9092
4,4096,0,8,7.656468,2204520411,2170714676,17.9797
4,6144,0,4,40.038733,14886507293,14725434979,11.5881
4,6144,0,6,29.281433,9930906044,9866457722,15.8456
4,6144,0,8,29.30595,7432975191,7181630907,15.8845
4,8192,0,4,95.051267,35277471861,34940035243,11.571
4,8192,0,6,70.254017,23539900487,23373130469,15.6519
4,8192,0,8,75.860633,17602097342,16725757881,14.4982
4,10240,0,4,185.7424,68881000119,68880416814,11.5655
4,10240,0,6,137.153,45960363053,45999149968,15.6622
4,10240,0,8,151.8052,34374005330,32954646091,14.1879
5,600,0,4,0.114548,10786334,37863883,3.7729
5,600,0,6,0.145178,9834527,38042673,2.976
5,600,0,8,0.180748,9048168,36501849,2.3918
5,1000,0,4,0.37921,44743268,137932735,5.2774
5,1000,0,6,0.437599,34860204,124604085,4.5748
5,1000,0,8,0.5592,31157989,119075854,3.5792
5,1400,0,4,1.044385,106861408,283771124,5.2565
5,1400,0,6,1.142622,85629471,261187127,4.8034
5,1400,0,8,1.455562,72696155,244712487,3.7722
5,1800,0,4,2.582702,223351834,537823407,4.5162
5,1800,0,6,2.855388,168664247,447210304,4.0854
5,1800,0,8,3.178638,140526832,391444052,3.6701
5,2200,0,4,5.106835,378895371,820289169,4.1704
5,2200,0,6,5.370938,290629368,709729557,3.9655
5,2200,0,8,5.806742,240421507,614569332,3.6681
5,2600,0,4,8.58297,631554088,1324851864,4.0956
5,2600,0,6,8.885552,461233260,1066041123,3.9564
5,2600,0,8,9.314102,377786900,917241754,3.7743
5,3000,0,4,13.219175,931218862,1839047543,4.0852
5,3000,0,6,13.590275,685070131,1514517633,3.9736
5,3000,0,8,14.02505,559454141,1290407725,3.8505
5,4096,0,4,32.519275,2329954459,4378726825,4.2268
5,4096,0,6,32.7734,1678175819,3585545477,4.1939
5,4096,0,8,34.318425,1278128204,2625049207,4.0052
5,6144,0,4,106.64525,7832463091,13977300843,4.35
5,6144,0,6,106.0975,5290084777,9837196395,4.3721
5,6144,0,8,106.07,4162060507,8239856240,4.3733
5,8192,0,4,250.7795,20572531545,32624146316,4.3844
5,8192,0,6,249.52575,12609436211,23210338996,4.4064
5,8192,0,8,249.83775,9492676363,16386908669,4.4011
5,10240,0,4,485.36875,68420945344,60795843984,4.4245
5,10240,0,6,476.091,25817794009,42642921117,4.5109
5,10240,0,8,476.462667,18551484773,30705976822,4.5072
