Operation,Dimension,BlockSize,N_Threads,Time,L1_DCM,L2_DCM,Gflops,Speedup,Efficiency
1,600,0,1,0.18377,244779770,38682131,2.351,N/A,N/A
1,1000,0,1,1.114836,1225949849,236773461,1.8088,N/A,N/A
1,1400,0,1,3.495259,3471191580,978095214,1.576,N/A,N/A
1,1800,0,1,18.071686,9090172841,5730662022,0.6459,N/A,N/A
1,2200,0,1,38.294471,17630657821,20302880969,0.5564,N/A,N/A
1,2600,0,1,69.0226,30895931144,50719685849,0.5095,N/A,N/A
1,3000,0,1,114.973857,50305095600,96485036230,0.4697,N/A,N/A
2,600,0,1,0.10373,27108266,57162689,4.1682,N/A,N/A
2,1000,0,1,0.48045,125673776,263534205,4.165,N/A,N/A
2,1400,0,1,1.570402,345982100,705462398,3.4976,N/A,N/A
2,1800,0,1,3.411581,745296306,1436094201,3.4198,N/A,N/A
2,2200,0,1,6.273155,2074023721,2557854864,3.3951,N/A,N/A
2,2600,0,1,10.413975,4412536352,4167976751,3.3756,N/A,N/A
2,3000,0,1,15.99335,6779756162,6367598825,3.3765,N/A,N/A
2,4096,0,1,41.170812,17536031042,16132329082,3.3387,N/A,N/A
2,6144,0,1,138.437,59145286722,54131404398,3.351,N/A,N/A
2,8192,0,1,328.7155,140028713686,127012178410,3.3453,N/A,N/A
2,10240,0,1,641.245,273424271178,252406172548,3.3491,N/A,N/A
3,4096,128,1,30.5378,9734440969,32527339167,4.5013,N/A,N/A
3,4096,256,1,27.8888,9084844789,23107431969,4.9324,N/A,N/A
3,4096,512,1,29.547512,8768531355,19414722950,4.7375,N/A,N/A
3,6144,128,1,103.516,32852944615,110219412463,4.4823,N/A,N/A
3,6144,256,1,90.645838,30656575490,77883059034,5.1184,N/A,N/A
3,6144,512,1,90.87755,29625108631,66844716855,5.1054,N/A,N/A
3,8192,128,1,252.54575,77901630670,261874087635,4.3608,N/A,N/A
3,8192,256,1,370.93625,73004202344,158631081608,3.039,N/A,N/A
3,8192,512,1,321.0735,70333783562,132600388060,3.4473,N/A,N/A
3,10240,128,1,478.028571,152056593801,515800766177,4.4928,N/A,N/A
3,10240,256,1,420.998714,141902119553,360751204334,5.1014,N/A,N/A
3,10240,512,1,419.594143,136986210591,307175086205,5.1194,N/A,N/A
4,600,0,4,0.02609,6779416,14371891,16.5601,3.975853,0.993963
4,600,0,6,0.018388,4523712,9563773,23.5075,5.641179,0.940197
4,600,0,7,0.016991,3892388,8235956,25.4388,6.104997,0.872142
4,600,0,8,0.01774,3394520,7180503,26.0532,5.847238,0.730905
4,1000,0,4,0.128421,31424573,65960031,15.5802,3.741211,0.935303
4,1000,0,6,0.087084,20995060,43931333,22.9683,5.517087,0.919514
4,1000,0,7,0.077738,17978786,37739367,25.7315,6.180375,0.882911
4,1000,0,8,0.072236,15719515,32943602,27.7337,6.651116,0.831389
4,1400,0,4,0.420342,86904279,173941711,13.0571,3.73601,0.934003
4,1400,0,6,0.292254,58102892,116577739,18.7794,5.373415,0.895569
4,1400,0,7,0.260103,49663608,100108790,21.0996,6.037616,0.862517
4,1400,0,8,0.242828,43459207,87563121,22.7307,6.467137,0.808392
4,1800,0,4,0.947277,187092896,362591143,12.321,3.601461,0.900365
4,1800,0,6,0.678144,124744777,245272075,17.2174,5.030762,0.83846
4,1800,0,7,0.610436,107288543,211639904,19.1082,5.588761,0.798394
4,1800,0,8,0.569609,93581856,184365190,20.6737,5.989338,0.748667
4,2200,0,4,1.746516,517165173,662145917,12.1978,3.591811,0.897953
4,2200,0,6,1.249384,345148641,445274363,17.0488,5.020998,0.836833
4,2200,0,7,1.134683,296256768,383562517,18.7684,5.528553,0.789793
4,2200,0,8,1.04339,258646489,335303262,20.504,6.012282,0.751535
4,2600,0,4,2.903005,1099258636,1095593284,12.1107,3.587309,0.896827
4,2600,0,6,2.073793,733986855,736432958,16.9572,5.021704,0.836951
4,2600,0,7,1.9244,629129292,636268160,18.2789,5.411544,0.773078
4,2600,0,8,1.748542,549639713,552421636,20.1765,5.955805,0.744476
4,3000,0,4,4.483564,1690015837,1689838990,12.0486,3.567106,0.891777
4,3000,0,6,3.234804,1126716862,1138573594,16.7164,4.944148,0.824025
4,3000,0,7,3.174967,966719623,983098031,17.0178,5.037328,0.719618
4,3000,0,8,2.828935,845058388,850217588,19.2032,5.653488,0.706686
4,4096,0,4,11.836123,4407909173,4316033737,11.6171,3.478404,0.869601
4,4096,0,6,9.153131,2941377685,2892802714,15.3299,4.498003,0.749667
4,4096,0,7,8.242457,2524705201,2504473066,16.68,4.994968,0.713567
4,4096,0,8,7.771289,2204401438,2162463956,17.7229,5.29781,0.662226
4,6144,0,4,40.295716,14885685910,14695499040,11.5162,3.435526,0.858882
4,6144,0,6,29.667017,9929442450,9844024749,15.647,4.666361,0.777727
4,6144,0,7,28.2015,8512299426,8467960181,16.4495,4.908852,0.701265
4,6144,0,8,29.515132,7433794109,7168623350,15.7671,4.690374,0.586297
4,8192,0,4,95.438815,35275294718,34880897302,11.5245,3.444254,0.861063
4,8192,0,6,70.641451,23538544588,23336068548,15.5699,4.653295,0.775549
4,8192,0,7,67.893367,20175062555,20068707152,16.195,4.841644,0.691663
4,8192,0,8,75.42843,17604598574,16761041528,14.6254,4.357979,0.544747
4,10240,0,4,186.692967,68882849009,68809383761,11.5073,3.434757,0.858689
4,10240,0,6,137.727615,45959857286,46074405426,15.5971,4.655893,0.775982
4,10240,0,7,138.811,39365912816,38966486526,15.4773,4.619555,0.659936
4,10240,0,8,149.454144,34379532019,33016779615,14.3976,4.29058,0.536323
5,600,0,4,0.113962,10799676,37865461,3.7928,0.910216,0.227554
5,600,0,6,0.144588,9825370,38023821,2.9884,0.717418,0.11957
5,600,0,7,0.159152,8972229,34763659,2.7144,0.651767,0.09311
5,600,0,8,0.179644,9075200,36659137,2.4064,0.57742,0.072177
5,1000,0,4,0.377731,44878399,138306310,5.2971,1.271937,0.317984
5,1000,0,6,0.437446,34945002,124836502,4.5761,1.098307,0.183051
5,1000,0,7,0.525699,32705194,121749854,3.8045,0.913926,0.130561
5,1000,0,8,0.603653,31358390,119766863,3.4194,0.795904,0.099488
5,1400,0,4,1.077534,106862009,280687083,5.1206,1.457404,0.364351
5,1400,0,6,1.15417,85559911,260475621,4.7571,1.360633,0.226772
5,1400,0,7,1.29333,77578756,249028287,4.2433,1.214231,0.173462
5,1400,0,8,1.536636,72556965,242570149,3.6242,1.021974,0.127747
5,1800,0,4,2.627022,223421910,533618004,4.4489,1.29865,0.324662
5,1800,0,6,2.860502,168727729,447536781,4.0808,1.192651,0.198775
5,1800,0,7,2.98124,153268287,423587083,3.9125,1.14435,0.163479
5,1800,0,8,3.137156,140767116,392428817,3.7189,1.087476,0.135934
5,2200,0,4,5.084544,378902281,821352480,4.1891,1.233769,0.308442
5,2200,0,6,5.328933,290668990,710337365,3.997,1.177188,0.196198
5,2200,0,7,5.44191,261354517,664687694,3.9133,1.152749,0.164678
5,2200,0,8,5.762697,240682821,616103745,3.6962,1.08858,0.136072
5,2600,0,4,8.541682,632014629,1322827411,4.1175,1.219195,0.304799
5,2600,0,6,8.866128,461425575,1058804426,3.966,1.17458,0.195763
5,2600,0,7,8.94681,414250619,997288893,3.929,1.163987,0.166284
5,2600,0,8,9.289744,378071772,915369162,3.7844,1.121019,0.140127
5,3000,0,4,13.132577,931816053,1832250343,4.1128,1.217838,0.304459
5,3000,0,6,13.616445,685151821,1504226936,3.9672,1.174561,0.19576
5,3000,0,7,13.4372,612475285,1399850189,4.0187,1.190229,0.170033
5,3000,0,8,13.966899,559369652,1282685570,3.8665,1.14509,0.143136
5,4096,0,4,32.454551,2328754266,4360249024,4.2366,1.268568,0.317142
5,4096,0,6,32.530889,1676968930,3549417175,4.2265,1.265591,0.210932
5,4096,0,7,31.5714,1474226063,3100505092,4.3533,1.304054,0.186293
5,4096,0,8,34.443327,1278957702,2631177780,3.9911,1.19532,0.149415
5,6144,0,4,106.736239,7838493184,13948381403,4.3461,1.297001,0.32425
5,6144,0,6,105.924744,5283688919,9776612417,4.3794,1.306937,0.217823
5,6144,0,7,107.017,4538796927,8844620333,4.3344,1.293598,0.1848
5,6144,0,8,106.770409,4161767807,8227084359,4.3466,1.296586,0.162073
5,8192,0,4,250.677545,20547025129,32486673063,4.3863,1.311308,0.327827
5,8192,0,6,251.235354,12610458758,23117854029,4.3781,1.308397,0.218066
5,8192,0,7,248.166,10818973788,17934813750,4.4306,1.324579,0.189226
5,8192,0,8,251.780089,9483041671,16384085209,4.3685,1.305566,0.163196
5,10240,0,4,485.638133,68713170443,60516777679,4.4221,1.320417,0.330104
