Operation,Dimension,BlockSize,Time,L1_DCM,L2_DCM,Gflops,N_Threads
1,600,0,0.184015,244774957,39313100,2.3476,1
1,1000,0,1.12115,1223805647,231631228,1.7839,1
1,1400,0,3.77711,3415265148,978768737,1.4530,1
1,1800,0,18.597,9088929103,7513576119,0.6272,1
1,2200,0,38.5524,17628243055,23352789873,0.5524,1
1,2600,0,68.9567,30913321030,51349618412,0.5098,1
1,3000,0,116.391,50292703669,95614194012,0.4640,1
2,600,0,0.099118,27106967,56824238,4.3584,1
2,1000,0,0.463778,125639517,263687804,4.3124,1
2,1400,0,1.5315,345939392,709552350,3.5834,1
2,1800,0,3.37602,745333628,1448562929,3.4550,1
2,2200,0,6.21346,2074644545,2577017505,3.4274,1
2,2600,0,10.402,4412733600,4208873550,3.3793,1
2,3000,0,15.9567,6779860783,6360869130,3.3841,1
2,4096,0,41.5697,17524300153,15680791255,3.3062,1
2,6144,0,138.42,59173631072,54412226575,3.3511,1
2,8192,0,325.378,139942717908,124511176533,3.3792,1
2,10240,0,640.787,273610030083,253750869781,3.3513,1
3,4096,128,30.725,9713088964,32928886062,4.4732,1
3,4096,256,27.0049,9077838126,22878827828,5.0894,1
3,4096,512,26.3222,8761256170,19711072628,5.2214,1
3,6144,128,103.096,32788051981,109719204253,4.4993,1
3,6144,256,90.5268,30637250918,77515575947,5.1240,1
3,6144,512,92.0997,29608877121,66282006449,5.0365,1
3,8192,128,267.634,77789672871,264368957423,4.1083,1
3,8192,256,382.359,73028347509,154179040257,2.8756,1
3,8192,512,327.43,70318332830,131345482166,3.3580,1
3,10240,128,476.914,151789525522,522072114660,4.5029,1
3,10240,256,422.052,141824503594,357482024547,5.0882,1
3,10240,512,420.892,136916334410,305156662605,5.1022,1
