Operation,Dimension,BlockSize,Time,L1_DCM,L2_DCM,Gflops,N_Threads
1,600,0,0.185241,244780926,39025534,2.3321,1
1,1000,0,1.16025,1215323213,285541590,1.7238,1
1,1400,0,3.65125,3501739862,1508376874,1.5030,1
1,1800,0,18.8435,9092358727,7412634784,0.6190,1
1,2200,0,39.9554,17628970507,21404392625,0.5330,1
1,2600,0,70.7835,30907010987,51178259845,0.4966,1
1,3000,0,115.139,50293565334,94876223024,0.4690,1
2,600,0,0.10771,27108829,56793380,4.0108,1
2,1000,0,0.502591,125647037,264439689,3.9794,1
2,1400,0,1.68796,345976584,675413383,3.2513,1
2,1800,0,3.54262,745307781,1414650597,3.2925,1
2,2200,0,6.36215,2073768830,2523848097,3.3473,1
2,2600,0,10.517,4412660059,4155909913,3.3424,1
2,3000,0,16.0459,6779957398,6329056172,3.3653,1
2,4096,0,41.3322,17539864450,16327663022,3.3252,1
2,6144,0,137.256,59118804840,53320917991,3.3795,1
2,8192,0,327.272,139929383687,124960995284,3.3596,1
2,10240,0,646.691,273244596849,247532812779,3.3207,1
3,4096,128,31.2679,9713913648,32306904661,4.3955,1
3,4096,256,27.1252,9077825847,23445684934,5.0668,1
3,4096,512,25.7424,8762113348,19625385725,5.3390,1
3,6144,128,106.177,32787748289,109770889812,4.3687,1
3,6144,256,91.7531,30640738434,77234224204,5.0555,1
3,6144,512,92.5956,29611023766,66510773501,5.0095,1
3,8192,128,266.594,77779752693,258045123959,4.1243,1
3,8192,256,383.129,73044666311,153312732693,2.8698,1
3,8192,512,338.667,70373154337,130289034061,3.2466,1
3,10240,128,481.323,151770289040,522103695530,4.4616,1
3,10240,256,426.308,141848516245,360949204863,5.0374,1
3,10240,512,418.144,136897847415,311976865053,5.1357,1
