Operation,Dimension,BlockSize,Time,Gflops
1,600,0,0.204031252,2.1173226932901437
1,1000,0,1.294693323,1.5447673703651286
1,1400,0,4.138398837,1.3261167461515984
1,1800,0,18.405962339,0.6337076967328896
1,2200,0,39.090588019,0.5447858699298426
1,2600,0,70.192508068,0.5007941868375183
1,3000,0,115.324861029,0.4682424892445434
2,600,0,0.117939168,3.662905269943909
2,1000,0,0.51964384,3.848789971223367
2,1400,0,1.651154206,3.3237355905690618
2,1800,0,3.634349373,3.2093777463039737
2,2200,0,6.635658604,3.209327253087236
2,2600,0,11.034355377,3.185686775438717
2,3000,0,16.94429001,3.1869142919609414
