Operation,Dimension,BlockSize,Time,L1_DCM,L2_DCM,Gflops,N_Threads
4,600,0,0.025789,6778247,14262133,16.7513,4
4,600,0,0.017853,4522561,9534393,24.1976,6
4,600,0,0.01627,3393661,7101890,26.5519,8
4,1000,0,0.124577,31423093,66713252,16.0543,4
4,1000,0,0.086663,20994508,43858506,23.0779,6
4,1000,0,0.070655,15717746,32754949,28.3066,8
4,1400,0,0.420505,86905780,174689264,13.0510,4
4,1400,0,0.296127,58109466,116481673,18.5326,6
4,1400,0,0.232248,43454221,87901454,23.6299,8
4,1800,0,0.937403,187093466,364052558,12.4429,4
4,1800,0,0.667921,124746586,246493106,17.4631,6
4,1800,0,0.535354,93563915,184173495,21.7875,8
4,2200,0,1.7345,517183151,660248654,12.2779,4
4,2200,0,1.24621,345179112,446898458,17.0886,6
4,2200,0,0.992496,258645137,337292634,21.4570,8
4,2600,0,2.88084,1099261747,1091424305,12.2020,4
4,2600,0,2.06143,733997649,739845105,17.0523,6
4,2600,0,1.639,549646317,556157704,21.4472,8
4,3000,0,4.45105,1690021535,1666057064,12.1320,4
4,3000,0,3.13553,1126700560,1136903653,17.2220,6
4,3000,0,2.56524,845048267,848115383,21.0507,8
4,4096,0,11.502,4406905651,4296131798,11.9491,4
4,4096,0,8.45341,2941176285,2912945519,16.2584,6
4,4096,0,7.60201,2205297780,2170259632,18.0793,8
4,6144,0,39.4962,14886395844,14666989065,11.7443,4
4,6144,0,28.7705,9930842501,9834345532,16.1226,6
4,6144,0,27.7687,7436570461,7217305546,16.7043,8
4,8192,0,93.9959,35264788015,34919227350,11.6974,4
4,8192,0,69.4628,23532406614,23144944739,15.8288,6
4,8192,0,72.8587,17606792144,16753280478,15.0910,8
4,10240,0,186.545,68883423789,69247592749,11.5119,4
4,10240,0,134.937,45961028923,46440424747,15.9147,6
4,10240,0,144.357,34387387302,33298014070,14.8762,8
4,600,0,0.026055,6781892,14251656,16.5803,4
4,600,0,0.018952,4523073,9680161,22.7944,6
4,600,0,0.014915,3395459,7180723,28.9641,8
4,1000,0,0.125663,31424501,65992403,15.9156,4
4,1000,0,0.086686,20994020,44253229,23.0718,6
4,1000,0,0.069434,15717606,32786392,28.8043,8
4,1400,0,0.417523,86902403,174727751,13.1442,4
4,1400,0,0.290381,58104517,117356661,18.8993,6
4,1400,0,0.234237,43458386,87373585,23.4293,8
4,1800,0,0.936571,187092119,365774159,12.4539,4
4,1800,0,0.665476,124736817,243406306,17.5273,6
4,1800,0,0.542511,93567828,184311026,21.5000,8
4,2200,0,1.73325,517191680,666512139,12.2867,4
