Operation,Dimention,BlockSize,Time,L1_DCM,L2_DCM,Gflops
1,600,0,0.187347,244776741,39194031,2.3059
1,1000,0,1.20346,1227764398,307882626,1.6619
1,1400,0,3.48301,3523439151,1610390840,1.5756
1,1800,0,18.3717,9089137621,7788502280,0.6349
1,2200,0,38.3943,17630107661,23243502278,0.5547
1,2600,0,70.6217,30904804389,51889777341,0.4978
1,3000,0,114.777,50314735143,95988697106,0.4705
2,600,0,0.102415,27107890,58003796,4.2181
2,1000,0,0.478925,125645146,266330291,4.1760
2,1400,0,1.57232,345950924,705414044,3.4904
2,1800,0,3.43009,745317720,1426526945,3.4005
2,2200,0,6.37357,2073680327,2557971407,3.3413
2,2600,0,10.4822,4412547160,4103565023,3.3535
2,3000,0,16.1318,6779965776,6330756408,3.3474
2,4096,0,41.2983,17524387675,15799475142,3.3280
2,6144,0,141.96,59162334576,54674166617,3.2675
2,8192,0,335.28,139963505314,126596231909,3.2794
2,10240,0,647.424,273591511548,255743685742,3.3170
3,4096,128,30.4222,9713832831,31401214264,4.5177
3,4096,256,27.1093,9079686201,23139226388,5.0698
3,4096,512,25.7278,8763028724,19737796586,5.3420
3,6144,128,105.736,32796858938,110456508126,4.3869
3,6144,256,92.355,30639407998,77485299523,5.0225
3,6144,512,91.5964,29600225133,67583603209,5.0641
3,8192,128,257.42,77750588713,262012549419,4.2713
3,8192,256,242.238,72659755969,181688610726,4.5390
3,8192,512,258.81,70110979473,151925546827,4.2483
3,10240,128,483.673,151799510135,508423429488,4.4400
3,10240,256,421.569,141829365759,358505031698,5.0940
3,10240,512,421.945,136915687493,312492950340,5.0895
